"","",""
札幌市,43.06417,141.34694
青森市,40.82444,140.74
盛岡市,39.70361,141.1525
仙台市,38.26889,140.87194
秋田市,39.71861,140.1025
山形市,38.24056,140.36333
福島市,37.75,140.46778
水戸市,36.34139,140.44667
宇都宮市,36.56583,139.88361
前橋市,36.39111,139.06083
さいたま市,35.85694,139.64889
千葉市,35.60472,140.12333
新宿区,35.68944,139.69167
横浜市,35.44778,139.6425
新潟市,37.90222,139.02361
富山市,36.69528,137.21139
金沢市,36.59444,136.62556
福井市,36.06528,136.22194
甲府市,35.66389,138.56833
長野市,36.65139,138.18111
岐阜市,35.39111,136.72222
静岡市,34.97694,138.38306
名古屋市,35.18028,136.90667
津市,34.73028,136.50861
大津市,35.00444,135.86833
京都市,35.02139,135.75556
大阪市,34.68639,135.52
神戸市,34.69139,135.18306
奈良市,34.68528,135.83278
和歌山市,34.22611,135.1675
鳥取市,35.50361,134.23833
松江市,35.47222,133.05056
岡山市,34.66167,133.935
広島市,34.39639,132.45944
山口市,34.18583,131.47139
徳島市,34.06583,134.55944
高松市,34.34028,134.04333
松山市,33.84167,132.76611
高知市,33.55972,133.53111
福岡市,33.60639,130.41806
佐賀市,33.24944,130.29889
長崎市,32.74472,129.87361
熊本市,32.78972,130.74167
大分市,33.23806,131.6125
宮崎市,31.91111,131.42389
鹿児島市,31.56028,130.55806
那覇市,26.2125,127.68111
